N,H,V,dtype,impl,latency_ms,tokens_per_s,peak_act_mb,materializes_NV_logits,max_abs_err,mean_abs_err,has_nan,has_inf
128,4096,128256,bf16,native_pytorch,0.9827,130255.8,157.25,True,0.007685661315917969,0.0010291561484336853,False,False
128,4096,128256,bf16,triton_sm80,61.5378,2080.0,0.001,False,1.71661376953125e-05,5.9604644775390625e-06,False,False
128,4096,128256,bf16,sm80_poc,167.3732,764.8,0.001,False,1.71661376953125e-05,5.841255187988281e-06,False,False
256,4096,128256,bf16,native_pytorch,1.6288,157168.5,314.625,True,0.00762939453125,0.0011304058134555817,False,False
256,4096,128256,bf16,triton_sm80,61.3389,4173.5,0.003,False,2.6702880859375e-05,5.949288606643677e-06,False,False
256,4096,128256,bf16,sm80_poc,167.4554,1528.8,0.002,False,2.6702880859375e-05,5.923211574554443e-06,False,False
512,4096,128256,bf16,native_pytorch,3.1688,161577.0,627.0,True,0.00775146484375,0.0011146515607833862,False,False
512,4096,128256,bf16,triton_sm80,61.3917,8339.9,0.006,False,2.09808349609375e-05,5.725771188735962e-06,False,False
512,4096,128256,bf16,sm80_poc,167.4887,3056.9,0.004,False,2.09808349609375e-05,5.608424544334412e-06,False,False
1024,4096,128256,bf16,native_pytorch,6.3798,160507.2,1254.5,True,0.007767677307128906,0.0011456329375505447,False,False
1024,4096,128256,bf16,triton_sm80,61.5078,16648.3,0.012,False,2.574920654296875e-05,5.7229772210121155e-06,False,False
1024,4096,128256,bf16,sm80_poc,167.5121,6113.0,0.008,False,2.574920654296875e-05,5.68293035030365e-06,False,False
2048,4096,128256,bf16,native_pytorch,12.7889,160139.0,2506.0,True,0.007803916931152344,0.0011173225939273834,False,False
2048,4096,128256,bf16,triton_sm80,62.5368,32748.7,0.023,False,2.86102294921875e-05,5.7355500757694244e-06,False,False
2048,4096,128256,bf16,sm80_poc,167.6084,12219.0,0.016,False,2.765655517578125e-05,5.6657008826732635e-06,False,False
4096,4096,128256,bf16,native_pytorch,25.5138,160540.4,5010.0,True,0.0077457427978515625,0.0011722797062247992,False,False
4096,4096,128256,bf16,triton_sm80,83.6225,48982.0,0.047,False,2.765655517578125e-05,5.897367373108864e-06,False,False
4096,4096,128256,bf16,sm80_poc,246.1159,16642.6,0.031,False,2.765655517578125e-05,5.813781172037125e-06,False,False
