N,H,V,dtype,impl,latency_ms,tokens_per_s,peak_act_mb,materializes_NV_logits,max_abs_err,mean_abs_err,has_nan,has_inf
128,4096,128256,bf16,native_pytorch,0.9774,130965.5,157.25,True,0.007685661315917969,0.0010291561484336853,False,False
128,4096,128256,bf16,triton_sm80,61.5921,2078.2,0.001,False,1.71661376953125e-05,5.9604644775390625e-06,False,False
128,4096,128256,bf16,sm80_poc,207.8624,615.8,0.001,False,1.621246337890625e-05,5.781650543212891e-06,False,False
256,4096,128256,bf16,native_pytorch,1.6216,157868.1,314.625,True,0.00762939453125,0.0011304058134555817,False,False
256,4096,128256,bf16,triton_sm80,61.4117,4168.6,0.003,False,2.6702880859375e-05,5.949288606643677e-06,False,False
256,4096,128256,bf16,sm80_poc,207.8406,1231.7,0.002,False,2.6702880859375e-05,5.930662155151367e-06,False,False
512,4096,128256,bf16,native_pytorch,3.1331,163417.4,627.0,True,0.00775146484375,0.0011146515607833862,False,False
512,4096,128256,bf16,triton_sm80,61.4402,8333.3,0.006,False,2.09808349609375e-05,5.725771188735962e-06,False,False
512,4096,128256,bf16,sm80_poc,207.8567,2463.2,0.004,False,2.09808349609375e-05,5.627050995826721e-06,False,False
1024,4096,128256,bf16,native_pytorch,6.2581,163628.6,1254.5,True,0.007767677307128906,0.0011456329375505447,False,False
1024,4096,128256,bf16,triton_sm80,61.5162,16646.0,0.012,False,2.574920654296875e-05,5.7229772210121155e-06,False,False
1024,4096,128256,bf16,sm80_poc,207.6739,4930.8,0.008,False,2.574920654296875e-05,5.6996941566467285e-06,False,False
2048,4096,128256,bf16,native_pytorch,12.6431,161986.0,2506.0,True,0.007803916931152344,0.0011173225939273834,False,False
2048,4096,128256,bf16,triton_sm80,62.5949,32718.3,0.023,False,2.86102294921875e-05,5.7355500757694244e-06,False,False
2048,4096,128256,bf16,sm80_poc,207.6417,9863.1,0.016,False,2.765655517578125e-05,5.639158189296722e-06,False,False
4096,4096,128256,bf16,native_pytorch,25.4256,161097.7,5010.0,True,0.0077457427978515625,0.0011722797062247992,False,False
4096,4096,128256,bf16,triton_sm80,83.5714,49012.0,0.047,False,2.765655517578125e-05,5.897367373108864e-06,False,False
4096,4096,128256,bf16,sm80_poc,336.8743,12158.8,0.031,False,2.765655517578125e-05,5.820998921990395e-06,False,False
