N,H,V,dtype,impl,latency_ms,tokens_per_s,peak_act_mb,materializes_NV_logits,max_abs_err,mean_abs_err,has_nan,has_inf
128,4096,128256,bf16,native_pytorch,0.9799,130630.2,157.25,True,0.007685661315917969,0.0010291561484336853,False,False
128,4096,128256,bf16,triton_sm80,61.5151,2080.8,0.001,False,1.71661376953125e-05,5.9604644775390625e-06,False,False
128,4096,128256,bf16,sm80_poc,10.4911,12200.8,0.024,False,1.71661376953125e-05,5.811452865600586e-06,False,False
256,4096,128256,bf16,native_pytorch,1.6387,156225.6,314.625,True,0.00762939453125,0.0011304058134555817,False,False
256,4096,128256,bf16,triton_sm80,61.3133,4175.3,0.003,False,2.6702880859375e-05,5.949288606643677e-06,False,False
256,4096,128256,bf16,sm80_poc,15.4721,16545.9,0.049,False,2.6702880859375e-05,5.9194862842559814e-06,False,False
512,4096,128256,bf16,native_pytorch,3.174,161308.5,627.0,True,0.00775146484375,0.0011146515607833862,False,False
512,4096,128256,bf16,triton_sm80,61.3967,8339.2,0.006,False,2.09808349609375e-05,5.725771188735962e-06,False,False
512,4096,128256,bf16,sm80_poc,21.9286,23348.6,0.098,False,2.09808349609375e-05,5.610287189483643e-06,False,False
1024,4096,128256,bf16,native_pytorch,6.4189,159527.8,1254.5,True,0.007767677307128906,0.0011456329375505447,False,False
1024,4096,128256,bf16,triton_sm80,61.4954,16651.6,0.012,False,2.574920654296875e-05,5.7229772210121155e-06,False,False
1024,4096,128256,bf16,sm80_poc,36.7118,27893.0,0.195,False,2.574920654296875e-05,5.690380930900574e-06,False,False
2048,4096,128256,bf16,native_pytorch,12.8178,159777.6,2506.0,True,0.007803916931152344,0.0011173225939273834,False,False
2048,4096,128256,bf16,triton_sm80,62.5571,32738.1,0.023,False,2.86102294921875e-05,5.7355500757694244e-06,False,False
2048,4096,128256,bf16,sm80_poc,74.7155,27410.6,0.391,False,2.765655517578125e-05,5.642417818307877e-06,False,False
4096,4096,128256,bf16,native_pytorch,25.7058,159341.6,5010.0,True,0.0077457427978515625,0.0011722797062247992,False,False
4096,4096,128256,bf16,triton_sm80,83.6546,48963.2,0.047,False,2.765655517578125e-05,5.897367373108864e-06,False,False
4096,4096,128256,bf16,sm80_poc,143.6965,28504.5,0.781,False,2.765655517578125e-05,5.820998921990395e-06,False,False
