N,H,V,dtype,impl,latency_ms,tokens_per_s,peak_act_mb,materializes_NV_logits,max_abs_err,mean_abs_err,has_nan,has_inf
128,4096,128256,bf16,native_pytorch,0.9799,130630.2,157.25,True,0.007685661315917969,0.0010291561484336853,False,False
128,4096,128256,bf16,triton_sm80,61.5854,2078.4,0.001,False,1.71661376953125e-05,5.9604644775390625e-06,False,False
128,4096,128256,bf16,sm80_poc,7.8693,16265.7,0.047,False,1.71661376953125e-05,5.796551704406738e-06,False,False
256,4096,128256,bf16,native_pytorch,1.645,155627.5,314.625,True,0.00762939453125,0.0011304058134555817,False,False
256,4096,128256,bf16,triton_sm80,61.3844,4170.4,0.003,False,2.6702880859375e-05,5.949288606643677e-06,False,False
256,4096,128256,bf16,sm80_poc,11.4064,22443.6,0.095,False,2.6702880859375e-05,5.908310413360596e-06,False,False
512,4096,128256,bf16,native_pytorch,3.2046,159769.9,627.0,True,0.00775146484375,0.0011146515607833862,False,False
512,4096,128256,bf16,triton_sm80,61.399,8338.9,0.006,False,2.09808349609375e-05,5.725771188735962e-06,False,False
512,4096,128256,bf16,sm80_poc,18.7696,27278.1,0.189,False,2.09808349609375e-05,5.6121498346328735e-06,False,False
1024,4096,128256,bf16,native_pytorch,6.489,157805.9,1254.5,True,0.007767677307128906,0.0011456329375505447,False,False
1024,4096,128256,bf16,triton_sm80,61.5149,16646.4,0.012,False,2.574920654296875e-05,5.7229772210121155e-06,False,False
1024,4096,128256,bf16,sm80_poc,37.2158,27515.2,0.191,False,2.574920654296875e-05,5.690380930900574e-06,False,False
2048,4096,128256,bf16,native_pytorch,12.9075,158667.2,2506.0,True,0.007803916931152344,0.0011173225939273834,False,False
2048,4096,128256,bf16,triton_sm80,62.5932,32719.2,0.023,False,2.86102294921875e-05,5.7355500757694244e-06,False,False
2048,4096,128256,bf16,sm80_poc,73.6909,27791.8,0.383,False,2.765655517578125e-05,5.642417818307877e-06,False,False
4096,4096,128256,bf16,native_pytorch,25.8461,158476.4,5010.0,True,0.0077457427978515625,0.0011722797062247992,False,False
4096,4096,128256,bf16,triton_sm80,83.903,48818.3,0.047,False,2.765655517578125e-05,5.897367373108864e-06,False,False
4096,4096,128256,bf16,sm80_poc,143.5894,28525.8,0.766,False,2.765655517578125e-05,5.820998921990395e-06,False,False
