N,split_v,latency_ms,tokens_per_s,primary_ctas,workspace_bytes,max_diff_vs_split1,mean_diff_vs_split1,nan,inf,peak_alloc_bytes
128,1,166.07887268066406,770.7181409288465,4,1536,0.0,0.0,False,False,2048
128,2,83.0935043334961,1540.4332868941417,8,3072,1.9073486328125e-06,8.195638656616211e-08,False,False,3584
128,4,41.602047729492185,3076.7716250962158,16,6144,1.9073486328125e-06,8.940696716308594e-08,False,False,6656
128,8,20.897484588623048,6125.139102611681,32,12288,1.9073486328125e-06,1.341104507446289e-07,False,False,12800
128,16,10.48258571624756,12210.72772165416,64,24576,1.9073486328125e-06,9.685754776000977e-08,False,False,25088
128,32,7.849369621276855,16307.041988828942,128,49152,1.9073486328125e-06,1.4156103134155273e-07,False,False,49664
256,1,166.43225860595703,1538.1633473238048,8,3072,0.0,0.0,False,False,4096
256,2,83.03380508422852,3083.0816405476853,16,6144,1.9073486328125e-06,1.043081283569336e-07,False,False,7168
256,4,41.605939102172854,6152.967713848106,32,12288,1.9073486328125e-06,1.0803341865539551e-07,False,False,13312
256,8,20.936704063415526,12227.330492163304,64,24576,1.9073486328125e-06,1.1920928955078125e-07,False,False,25600
256,16,15.525887966156006,16488.589931734645,128,49152,1.9073486328125e-06,1.341104507446289e-07,False,False,50176
256,32,11.180646514892578,22896.708133917746,256,98304,1.9073486328125e-06,1.1548399925231934e-07,False,False,99328
512,1,166.34705963134766,3077.902315404167,16,6144,0.0,0.0,False,False,8192
512,2,83.13303070068359,6158.803494647404,32,12288,1.9073486328125e-06,1.6205012798309326e-07,False,False,14336
512,4,41.7345531463623,12268.012028412657,64,24576,1.9073486328125e-06,1.5459954738616943e-07,False,False,26624
512,8,31.020441627502443,16505.245352344224,128,49152,1.9073486328125e-06,1.5459954738616943e-07,False,False,51200
512,16,22.13631992340088,23129.40912363448,256,98304,1.9073486328125e-06,1.695007085800171e-07,False,False,100352
512,32,18.576486778259277,27561.723920758355,512,196608,1.9073486328125e-06,1.601874828338623e-07,False,False,198656
1024,1,166.53188934326172,6148.972452292865,32,12288,0.0,0.0,False,False,16384
1024,2,83.32246932983398,12289.602171371946,64,24576,1.9073486328125e-06,1.387670636177063e-07,False,False,28672
1024,4,61.78232383728027,16574.319908991587,128,49152,1.9073486328125e-06,1.3597309589385986e-07,False,False,53248
1024,8,44.150886917114256,23193.192062537382,256,98304,1.9073486328125e-06,1.387670636177063e-07,False,False,102400
1024,16,36.802355194091795,27824.30620539176,512,196608,1.9073486328125e-06,1.424923539161682e-07,False,False,200704
1024,32,37.59063034057617,27240.83077943685,1024,393216,1.9073486328125e-06,1.5273690223693848e-07,False,False,397312
2048,1,166.71170501708986,12284.680309580282,64,24576,0.0,0.0,False,False,32768
2048,2,123.25754928588867,16615.615123498716,128,49152,1.9073486328125e-06,1.3969838619232178e-07,False,False,57344
2048,4,88.01853485107422,23267.82652614224,256,98304,1.9073486328125e-06,1.3830140233039856e-07,False,False,106496
2048,8,73.32229232788086,27931.478067295044,512,196608,1.9073486328125e-06,1.4062970876693726e-07,False,False,204800
2048,16,75.01690826416015,27300.511943098118,1024,393216,1.9073486328125e-06,1.4062970876693726e-07,False,False,401408
2048,32,72.16773147583008,28378.334168448982,2048,786432,1.9073486328125e-06,1.5320256352424622e-07,False,False,794624
4096,1,246.43256378173828,16621.179998061325,128,49152,0.0,0.0,False,False,65536
4096,2,176.19056243896483,23247.55618745992,256,98304,1.9073486328125e-06,1.4505349099636078e-07,False,False,114688
4096,4,146.5680892944336,27946.055786889207,512,196608,1.9073486328125e-06,1.4319084584712982e-07,False,False,212992
4096,8,149.08313446044923,27474.603447425114,1024,393216,1.9073486328125e-06,1.4528632164001465e-07,False,False,409600
4096,16,145.22080993652344,28205.324028907267,2048,786432,1.9073486328125e-06,1.4295801520347595e-07,False,False,802816
4096,32,145.9335174560547,28067.57536858137,4096,1572864,1.9073486328125e-06,1.6088597476482391e-07,False,False,1589248
